epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8192,0.76511,3.4294,1.22455,0.65156,0.58818,0.65655,0.51429,0.65121,1.45499,1.10707,0.000137888,0.000137888,0.000137888
2,67.6919,0.84171,1.9564,1.24621,0.61962,0.57828,0.635,0.47894,0.78983,1.41401,1.21354,0.000263182,0.000263182,0.000263182
3,99.6013,0.87328,1.789,1.25982,0.6495,0.61615,0.66959,0.49485,0.83355,1.33903,1.28109,0.000374715,0.000374715,0.000374715
4,131.374,0.88788,1.68941,1.27663,0.71474,0.62302,0.65443,0.4692,0.89076,1.34504,1.28659,0.000355076,0.000355076,0.000355076
5,162.85,0.86413,1.57249,1.2609,0.62219,0.5783,0.64059,0.48129,0.81215,1.49464,1.25733,0.000334434,0.000334434,0.000334434
6,194.159,0.84676,1.47929,1.23746,0.67122,0.61831,0.71028,0.54249,0.77746,1.31719,1.20817,0.000313792,0.000313792,0.000313792
7,225.708,0.82644,1.42736,1.23536,0.75674,0.67637,0.77656,0.6064,0.72102,1.01384,1.1599,0.000293151,0.000293151,0.000293151
8,257.258,0.8021,1.37536,1.21675,0.65957,0.67064,0.72608,0.56265,0.73444,1.15252,1.16275,0.000272509,0.000272509,0.000272509
9,288.932,0.75194,1.24548,1.18026,0.76327,0.72243,0.80698,0.62601,0.73937,0.85081,1.17561,0.000251868,0.000251868,0.000251868
10,320.605,0.75877,1.18024,1.17455,0.75649,0.75401,0.81755,0.65461,0.69188,0.7828,1.14272,0.000231226,0.000231226,0.000231226
11,352.788,0.63422,0.84825,1.138,0.77401,0.73611,0.79622,0.6227,0.70176,0.82563,1.13685,0.000210585,0.000210585,0.000210585
12,384.478,0.61264,0.74794,1.11836,0.78075,0.74567,0.81429,0.64422,0.67836,0.77567,1.127,0.000189943,0.000189943,0.000189943
13,416.149,0.56856,0.70146,1.08601,0.77619,0.75218,0.82546,0.66496,0.6471,0.79035,1.09983,0.000169302,0.000169302,0.000169302
14,447.853,0.56047,0.65007,1.07431,0.77682,0.79026,0.83286,0.68356,0.62399,0.63729,1.08086,0.00014866,0.00014866,0.00014866
15,479.602,0.51845,0.5474,1.04227,0.7945,0.79252,0.8461,0.70059,0.61442,0.63748,1.07468,0.000128019,0.000128019,0.000128019
16,511.481,0.48332,0.47516,1.01516,0.81805,0.78785,0.85069,0.71274,0.59056,0.59229,1.05673,0.000107378,0.000107378,0.000107378
17,543.423,0.45931,0.43469,0.99175,0.81183,0.78426,0.84724,0.70675,0.59665,0.60216,1.05782,8.6736e-05,8.6736e-05,8.6736e-05
18,575.279,0.44462,0.40106,0.98656,0.83384,0.7973,0.86886,0.73115,0.5746,0.53883,1.04414,6.60945e-05,6.60945e-05,6.60945e-05
19,607.216,0.40816,0.35572,0.95946,0.83388,0.79858,0.86489,0.73752,0.55635,0.52371,1.02431,4.5453e-05,4.5453e-05,4.5453e-05
20,639.167,0.39929,0.33811,0.95849,0.82313,0.82425,0.86969,0.7444,0.55441,0.52085,1.02479,2.48115e-05,2.48115e-05,2.48115e-05
